Gilt Name,Close of Business Date,ISIN,Type,Coupon,Maturity,Clean Price,Dirty Price,Purchased_Price,Yield,Mod Duration,Accrued Interest
UKT 1.625 10/28,24/04/2023,GB00BFX0ZL78,Conventional,1.625,22/10/2028,90.122,90.13532,101,3.624821,5.167158,0.01332
UKT 1.625 10/28,25/04/2023,GB00BFX0ZL78,Conventional,1.625,22/10/2028,90.472,90.48976,103,3.550746,5.166902,0.01776
UKT 1.625 10/28,26/04/2023,GB00BFX0ZL78,Conventional,1.625,22/10/2028,90.438,90.460199,105,3.558935,5.163949,0.022199
UKT 6 12/28,20/04/2023,GB0002404191,Conventional,6,07/12/2028,111.672,113.897275,93,3.684056,4.727027,2.225275
UKT 6 12/28,21/04/2023,GB0002404191,Conventional,6,07/12/2028,111.708,113.982725,108,3.67454,4.719385,2.274725
UKT 6 12/28,24/04/2023,GB0002404191,Conventional,6,07/12/2028,111.668,113.959209,107,3.681035,4.716379,2.291209
UKT 6 12/28,25/04/2023,GB0002404191,Conventional,6,07/12/2028,112.066,114.373692,96,3.606168,4.717228,2.307692
UKT 6 12/28,26/04/2023,GB0002404191,Conventional,6,07/12/2028,112.014,114.338176,107,3.614839,4.714119,2.324176
UKT 0.5 01/29,20/04/2023,GB00BLPK7227,Conventional,0.5,31/01/2029,83.23,83.340497,98,3.755065,5.582008,0.110497
UKT 0.5 01/29,21/04/2023,GB00BLPK7227,Conventional,0.5,31/01/2029,83.287,83.401641,109,3.747439,5.574108,0.114641
UKT 0.5 01/29,24/04/2023,GB00BLPK7227,Conventional,0.5,31/01/2029,83.303,83.419022,95,3.74554,5.571455,0.116022
UKT 0.5 01/29,25/04/2023,GB00BLPK7227,Conventional,0.5,31/01/2029,83.669,83.786403,104,3.668486,5.57111,0.117403
UKT 0.5 01/29,26/04/2023,GB00BLPK7227,Conventional,0.5,31/01/2029,83.618,83.736785,104,3.680928,5.568015,0.118785
UKT 0.875 10/29,20/04/2023,GB00BJMHB534,Conventional,0.875,22/10/2029,84.228,84.225596,92,3.618776,6.20394,-0.002404
UKT 0.875 10/29,21/04/2023,GB00BJMHB534,Conventional,0.875,22/10/2029,84.29,84.294781,105,3.610278,6.196195,0.004781
UKT 0.875 10/29,24/04/2023,GB00BJMHB534,Conventional,0.875,22/10/2029,84.306,84.313172,101,3.608334,6.193585,0.007172
UKT 0.875 10/29,25/04/2023,GB00BJMHB534,Conventional,0.875,22/10/2029,84.722,84.731563,98,3.529974,6.193855,0.009563
UKT 0.875 10/29,26/04/2023,GB00BJMHB534,Conventional,0.875,22/10/2029,84.659,84.670954,108,3.543076,6.190677,0.011954
UKT 0.375 10/30,20/04/2023,GB00BL68HH02,Conventional,0.375,22/10/2030,78.668,78.66697,105,3.651128,7.256452,-0.00103
UKT 0.375 10/30,21/04/2023,GB00BL68HH02,Conventional,0.375,22/10/2030,78.77,78.772049,102,3.636812,7.248973,0.002049
UKT 0.375 10/30,24/04/2023,GB00BL68HH02,Conventional,0.375,22/10/2030,78.809,78.812074,105,3.63116,7.246521,0.003074
UKT 0.375 10/30,25/04/2023,GB00BL68HH02,Conventional,0.375,22/10/2030,79.26,79.264098,102,3.553584,7.247008,0.004098
UKT 0.375 10/30,26/04/2023,GB00BL68HH02,Conventional,0.375,22/10/2030,79.177,79.182123,101,3.569196,7.243685,0.005123
UKT 4.75 12/30,20/04/2023,GB00B24FF097,Conventional,4.75,07/12/2030,107.401,109.162676,109,3.630038,6.317211,1.761676
UKT 4.75 12/30,21/04/2023,GB00B24FF097,Conventional,4.75,07/12/2030,107.503,109.303824,97,3.614258,6.31035,1.800824
UKT 4.75 12/30,24/04/2023,GB00B24FF097,Conventional,4.75,07/12/2030,107.536,109.349874,105,3.60914,6.308051,1.813874
UKT 4.75 12/30,25/04/2023,GB00B24FF097,Conventional,4.75,07/12/2030,108.062,109.888923,104,3.532746,6.31132,1.826923
UKT 4.75 12/30,26/04/2023,GB00B24FF097,Conventional,4.75,07/12/2030,107.952,109.791973,92,3.548264,6.307408,1.839973
UKT 0.25 07/31,20/04/2023,GB00BMGR2809,Conventional,0.25,31/07/2031,75.589,75.644249,93,3.700125,8.028733,0.055249
UKT 0.25 07/31,21/04/2023,GB00BMGR2809,Conventional,0.25,31/07/2031,75.7,75.75732,109,3.685291,8.021261,0.05732
UKT 0.25 07/31,24/04/2023,GB00BMGR2809,Conventional,0.25,31/07/2031,75.755,75.813011,100,3.677385,8.018903,0.058011
UKT 0.25 07/31,25/04/2023,GB00BMGR2809,Conventional,0.25,31/07/2031,76.228,76.286702,96,3.600955,8.019613,0.058702
UKT 0.25 07/31,26/04/2023,GB00BMGR2809,Conventional,0.25,31/07/2031,76.117,76.176392,104,3.620236,8.016036,0.059392
UKT 1 01/32,20/04/2023,GB00BM8Z2T38,Conventional,1,31/01/2032,79.756,79.976994,102,3.724525,8.196155,0.220994
UKT 1 01/32,21/04/2023,GB00BM8Z2T38,Conventional,1,31/01/2032,79.862,80.091282,105,3.710821,8.188885,0.229282
UKT 1 01/32,24/04/2023,GB00BM8Z2T38,Conventional,1,31/01/2032,79.912,80.144044,99,3.704017,8.186603,0.232044
UKT 1 01/32,25/04/2023,GB00BM8Z2T38,Conventional,1,31/01/2032,80.414,80.648807,95,3.628561,8.188657,0.234807
UKT 1 01/32,26/04/2023,GB00BM8Z2T38,Conventional,1,31/01/2032,80.305,80.542569,92,3.645878,8.184851,0.237569
UKT 4.25 06/32,20/04/2023,GB0004893086,Conventional,4.25,07/06/2032,104.51,106.086236,111,3.66381,7.44993,1.576236
UKT 4.25 06/32,21/04/2023,GB0004893086,Conventional,4.25,07/06/2032,104.617,106.228264,102,3.649854,7.443341,1.611264
UKT 4.25 06/32,24/04/2023,GB0004893086,Conventional,4.25,07/06/2032,104.676,106.29894,98,3.642252,7.441462,1.62294
UKT 4.25 06/32,25/04/2023,GB0004893086,Conventional,4.25,07/06/2032,105.28,106.914615,101,3.56599,7.446978,1.634615
UKT 4.25 06/32,26/04/2023,GB0004893086,Conventional,4.25,07/06/2032,105.118,106.764291,106,3.586198,7.442103,1.646291
UKT 3.25 01/33,20/04/2023,GB00BMV7TC88,Conventional,3.25,31/01/2033,95.744,96.638862,94,3.773813,8.189055,0.894862
UKT 3.25 01/33,21/04/2023,GB00BMV7TC88,Conventional,3.25,31/01/2033,95.83,96.751796,94,3.763325,8.18211,0.921796
UKT 3.25 01/33,24/04/2023,GB00BMV7TC88,Conventional,3.25,31/01/2033,95.878,96.808774,102,3.757387,8.180071,0.930774
UKT 3.25 01/33,25/04/2023,GB00BMV7TC88,Conventional,3.25,31/01/2033,96.445,97.384752,94,3.686137,8.185422,0.939752
